"/**","/**"
" * Copyright © Wubinworks. All rights reserved."," * 著作権 © Wubinworks。 Wubinworksは本著作物に対するすべての権利を留保する"
" * See COPYING.txt for license details."," * 使用許諾(ライセンス)については、COPYING.txtを参照してください。"
" */"," */"
"Something went wrong.","何らかの問題が発生しました。",module,Wubinworks_InjectHead
"Select All","すべて選択",module,Wubinworks_InjectHead
"Deselect All","すべての選択を外す",module,Wubinworks_InjectHead
"Select All on This Page","このページのすべてを選択",module,Wubinworks_InjectHead
"Deselect All on This Page","このページのすべての選択を外す",module,Wubinworks_InjectHead
"Go to Details Page","詳細ページへ移動",module,Wubinworks_InjectHead
"New View","新しいビュー",module,Wubinworks_InjectHead
"Save View As...","名前をつけて、ビューを保存",module,Wubinworks_InjectHead
"Columns","列",module,Wubinworks_InjectHead
"${ $.visible } out of ${ $.total } visible","${ $.visible } / ${ $.total } 表示中",module,Wubinworks_InjectHead
"Store View(Partial Match)","ストアビュー(部分一致)",module,Wubinworks_InjectHead
"Customer Groups(Partial Match)","顧客グループ(部分一致)",module,Wubinworks_InjectHead
"Apply Filters","検索する",module,Wubinworks_InjectHead
"All Store Views","すべてのストアビュー",module,Wubinworks_InjectHead
"from","開始",module,Wubinworks_InjectHead
"to","終了",module,Wubinworks_InjectHead
"Time","時刻",module,Wubinworks_InjectHead
"Hour","時",module,Wubinworks_InjectHead
"Minute","分",module,Wubinworks_InjectHead
"Second","秒",module,Wubinworks_InjectHead
"Go Today","今日",module,Wubinworks_InjectHead
"Close","閉じる",module,Wubinworks_InjectHead
"Done","完了",module,Wubinworks_InjectHead
"If not set, this will be treated as INFINITESIMAL<br />Make sure your Web Sever timezone and <strong>Database timezone</strong> are correct","空欄にすると、無限小と見なします<br />Webサーバと<strong>データベース</strong>のタイムゾーンが正しいかご注意ください",module,Wubinworks_InjectHead
"If not set, this will be treated as INFINITY<br />Make sure your Web Sever timezone and <strong>Database timezone</strong> are correct","空欄にすると、無限大と見なします<br />Webサーバと<strong>データベース</strong>のタイムゾーンが正しいかご注意ください",module,Wubinworks_InjectHead
"<!-- Comment here, your code must be ERROR-FREE -->","<!-- ここにコメントできます。コードはミスなしである必要があります -->",module,Wubinworks_InjectHead
"@Only script, style, link and meta tag are recognized","@script, style, linkとmetaタグだけを識別",module,Wubinworks_InjectHead
"@Comments will not be injected","@コメントは&lt;head&gt;に注入しません",module,Wubinworks_InjectHead
"@Your code must be ERROR-FREE","@コードはミスなしである必要があります",module,Wubinworks_InjectHead
"You can also comment like this","このようにコメントもできます",module,Wubinworks_InjectHead
"###CONFIG###","",module,Wubinworks_InjectHead
"Scope:","スコープ:",module,Wubinworks_InjectHead
"Default Config","既定の設定",module,Wubinworks_InjectHead
"Save Config","設定を保存",module,Wubinworks_InjectHead
"Use system value","システム既定値を使用",module,Wubinworks_InjectHead
"Important Notes","ご注意",module,Wubinworks_InjectHead
"You need to <a class=""wubinworks-internal-link"" href=""%1"" target=""_blank"">Clear Cache</a> for these settings to take effect!","以下の設定を変更した場合、<a class=""wubinworks-internal-link"" href=""%1"" target=""_blank"">キャッシュをクリア</a>する必要があります",module,Wubinworks_InjectHead
"Enabled","有効",module,Wubinworks_InjectHead
"Enable/Disable the entire extension","エクステンション全体有効／無効",module,Wubinworks_InjectHead
"Excluded Full Action Names","除外されたFull Action Name",module,Wubinworks_InjectHead
"Exclude these Full Action Names<br />They can be separated by comma<br />This setting has higher priority than rules in the Head Content manager<br />Wildcard can be used","これらのFull Action Nameを除外<br />カンマで区切ります<br />Headコンテンツマネージャのルールより優先<br />ワイルドカードが使えます",module,Wubinworks_InjectHead
"Full Action Names examples","Full Action Nameの例",module,Wubinworks_InjectHead
"More <a class=""wubinworks-external-link"" href=""%1"" target=""_blank"" rel=""noopener noreferrer"">here</a>","さらに詳しくは<a class=""wubinworks-external-link"" href=""%1"" target=""_blank"" rel=""noopener noreferrer"">こちら</a>",module,Wubinworks_InjectHead
"Duplication Multiplier","ルール複製回数",module,Wubinworks_InjectHead
"Head Content manager row duplication<br />Range: 1-10<br />Set to 0 to disable","Headコンテンツマネージャの行を複製<br />範囲: 1-10<br />0に設定すると、無効にできます",module,Wubinworks_InjectHead
"Block Cache Lifetime","Block Cache Lifetime",module,Wubinworks_InjectHead
"In seconds<br />Leave it empty to use <a class=""wubinworks-internal-link"" href=""%1"" target=""_blank"">`Configuration->Advanced settings->System->Full Page Cache->TTL`</a> value<br />Set to 0 to disable Block HTML Cache","単位: 秒<br />空欄にすると<a class=""wubinworks-internal-link"" href=""%1"" target=""_blank"">`設定->高度な設定->システム->フルページキャッシュ->TTL`</a>を使用<br />0にするとBlock HTML Cacheが無効になります",module,Wubinworks_InjectHead
"Maximum Client Data Cache Lifetime","クライアントデータCache Lifetime最大値",module,Wubinworks_InjectHead
"In seconds<br />The maximum duration for <strong>browsers</strong> to cache head content<br />Set to 0 to let browsers not cache(Performance impact, not recommanded)<br /><a class=""wubinworks-internal-link"" href=""%1"" target=""_blank"">`Configuration->General->Web->Default Cookie setting->Cookie Lifetime`</a> must be longer than this value","単位: 秒<br /><strong>ブラウザ</strong>がheadコンテンツをキャッシュする最大期間<br />0にするとブラウザがキャッシュしません(パフォーマンスに良くないので、非推奨)<br /><a class=""wubinworks-internal-link"" href=""%1"" target=""_blank"">`設定->全般->ウェブ->デフォルトのCookie設定->Cookie有効期限`</a>はこの設定より長い必要があります",module,Wubinworks_InjectHead
"Version Number","バージョンナンバー",module,Wubinworks_InjectHead
"Increase this number and clear cache to force browsers to update head content <strong>immediately</strong>","ブラウザに強制的にHeadコンテンツを<strong>すぐに</strong>更新させたい場合はこの値を増やしてから、キャッシュクリアしてください",module,Wubinworks_InjectHead
"Reverse Rewrite Rule Lookup","Rewriteルール逆引き",module,Wubinworks_InjectHead
"Planned feature. Not working currently","今後提供する機能。当面は動作しません",module,Wubinworks_InjectHead
"Debug Mode","デバッグモード",module,Wubinworks_InjectHead
"<strong>Don't enable on production server!</strong>","<strong>プロダクション環境では有効にしないでください❗️</strong>",module,Wubinworks_InjectHead
"Contact","ご連絡",module,Wubinworks_InjectHead
"Report issues and bugs <a class=""wubinworks-external-link"" href=""%1"" target=""_blank"" rel=""noopener noreferrer"">here</a>","問題やバグのご報告は<a class=""wubinworks-external-link"" href=""%1"" target=""_blank"" rel=""noopener noreferrer"">こちら</a>",module,Wubinworks_InjectHead
"Our team is offering Magento custom development service. If you require any kind of store customization, tailor-made extensions or EC technical consulting service, please feel free to reach out to us via the email below","Magentoのカスタマイズ・開発、専用エクステンション(オーダーメイド)作成、ECサイト構築・コンサルティングなどの依頼を承っております。ご用命の際には、お気軽に下記のメールアドレスまでご連絡ください",module,Wubinworks_InjectHead
"Supported languages","対応言語",module,Wubinworks_InjectHead
"English","英語",module,Wubinworks_InjectHead
"Japanese","日本語",module,Wubinworks_InjectHead
"Copy Email","メールアドレスをコピー",module,Wubinworks_InjectHead
"Email address has been copied to clipboard!","メールアドレスをクリップボードにコピーしました❗️",module,Wubinworks_InjectHead
"Like this extension?","❤️このエクステンションが好き？",module,Wubinworks_InjectHead
"Support Author","支援",module,Wubinworks_InjectHead
"<a class=""wubinworks-external-link"" href=""%1"" target=""_blank"" rel=""noopener noreferrer"">Privacy Policy</a>","<a class=""wubinworks-external-link"" href=""%1"" target=""_blank"" rel=""noopener noreferrer"">プライバシーポリシー</a>",module,Wubinworks_InjectHead
"[Your Name/Company Name]","【お名前／会社名】",module,Wubinworks_InjectHead
"Custom Development","開発・カスタマイズ",module,Wubinworks_InjectHead
"[Your decision whether to provide the information below to us and you can remove any parts you do not want to provide. Howerver, we suggest you to include them for an effective inquiry. The content of this email will not be shared to any third parties. You can also confirm our Privacy Policy]","【下記の情報提供は完全任意で、また、ご提供なさりたくない部分を削除しても構いません。ただし、ご相談や、お問い合わせがよりスムーズに進むため、下記の情報をご提供頂ければ幸いです。このメールの内容は第三者に公開することはございません。これに関するご懸念点がございましたら、Wubinworksのプライバシーポリシーをご確認ください】",module,Wubinworks_InjectHead
"Store Name","店舗名",module,Wubinworks_InjectHead
"Country of Store","所在国",module,Wubinworks_InjectHead
"Wubinworks_InjectHead Version","Wubinworks_InjectHeadバージョン",module,Wubinworks_InjectHead
"###PLUGIN###","",module,Wubinworks_InjectHead
"%1 Incompatible!","%1は動作対象外‼️",module,Wubinworks_InjectHead
"###JS###","",module,Wubinworks_InjectHead
"###MISC###","",module,Wubinworks_InjectHead
